,SFO,TAM
Points,,
First Downs,17,19
Rush Att,22,26
Rush Yds,67,104
Rush TDs,1,2
Pass Comp,27,17
Pass Att,39,23
Pass Yds,347,256
Pass TD,0,2
Pass INT,2,0
Sacks Taken,6,1
Sacked Yards,51,8
Net Pass Yards,296,248
Total Yards,363,352
Fumbles,1,1
Fumbles Lost,0,0
Turnovers,2,0
Penalties,9,5
Penalty Yds,65,31
3D Conv,7,3
3D Conv Yards,16,8
4D Conv,0,0
4D Conv Yards,2,0
Time of Possession,32:35,27:25
