,DET,KAN
Points,,
First Downs,18,26
Rush Att,23,29
Rush Yds,98,112
Rush TDs,0,1
Pass Comp,23,22
Pass Att,29,30
Pass Yds,203,257
Pass TD,2,3
Pass INT,0,0
Sacks Taken,1,3
Sacked Yards,4,14
Net Pass Yards,199,243
Total Yards,297,355
Fumbles,1,1
Fumbles Lost,0,0
Turnovers,0,0
Penalties,4,0
Penalty Yds,38,0
3D Conv,5,4
3D Conv Yards,11,10
4D Conv,0,2
4D Conv Yards,2,3
Time of Possession,29:23,30:37
