,DAL,CAR
Points,,
First Downs,15,27
Rush Att,19,38
Rush Yds,31,216
Rush TDs,0,0
Pass Comp,25,17
Pass Att,34,25
Pass Yds,261,199
Pass TD,3,3
Pass INT,0,1
Sacks Taken,0,1
Sacked Yards,0,5
Net Pass Yards,261,194
Total Yards,292,410
Fumbles,2,2
Fumbles Lost,0,0
Turnovers,0,1
Penalties,6,6
Penalty Yds,37,57
3D Conv,5,3
3D Conv Yards,12,8
4D Conv,2,1
4D Conv Yards,2,1
Time of Possession,27:58,32:02
