,DEN,NYJ
Points,,
First Downs,12,8
Rush Att,26,31
Rush Yds,78,92
Rush TDs,0,0
Pass Comp,19,9
Pass Att,30,17
Pass Yds,174,45
Pass TD,1,0
Pass INT,0,0
Sacks Taken,1,9
Sacked Yards,6,55
Net Pass Yards,168,-10
Total Yards,246,82
Fumbles,2,1
Fumbles Lost,1,0
Turnovers,1,0
Penalties,6,2
Penalty Yds,37,15
3D Conv,5,2
3D Conv Yards,15,15
4D Conv,1,1
4D Conv Yards,1,2
Time of Possession,31:08,28:52
