,CLE,PIT
Points,,
First Downs,20,19
Rush Att,17,28
Rush Yds,65,100
Rush TDs,0,0
Pass Comp,29,21
Pass Att,52,30
Pass Yds,221,235
Pass TD,0,2
Pass INT,0,0
Sacks Taken,6,0
Sacked Yards,38,0
Net Pass Yards,183,235
Total Yards,248,335
Fumbles,0,1
Fumbles Lost,0,0
Turnovers,0,0
Penalties,6,10
Penalty Yds,44,59
3D Conv,6,5
3D Conv Yards,17,13
4D Conv,2,0
4D Conv Yards,4,0
Time of Possession,28:08,31:52
