CircHead,12134,12082,12116,12099,11890,11997,12064,12019,12047,12050,12036,12006,12134,,,,
CircNeck,10872,10963,11054,11096,11174,11179,11160,11132,11109,11037,10953,10868,10872,,,,
CircChest,9139,9310,9285,8907,8833,8752,8666,8422,8416,8442,8718,8736,8802,8887,9084,9054,9139
CircWaist,7111,7086,7207,7300,7488,7472,7467,7423,7269,7158,7265,7295,7229,7112,7089,7104,7111
CircHips,6411,6467,6468,6390,6275,6239,6338,6203,5940,5852,5966,6112,6217,6225,6161,6291,6411
CircBicepLeft,9401,9764,9555,9250,9167,9245,9143,9389,9401,,,,,,,,
CircBicepRight,9165,9063,9079,9067,9189,9469,9495,9377,9165,,,,,,,,
CircForearmLeft,7778,7861,8038,7858,7712,7550,7518,7587,7778,,,,,,,,
CircForearmRight,7863,7827,7714,7866,7859,8015,8110,8030,7863,,,,,,,,
CircThighLeft,3390,3347,3363,3387,3376,3319,3336,3324,3390,,,,,,,,
CircThighRight,3313,3305,3331,3296,3337,3356,3302,3342,3313,,,,,,,,
CircCalfLeft,1904,1896,1906,1934,1910,1873,1891,1878,1904,,,,,,,,
CircCalfRight,1907,1861,1867,1835,1828,1863,1868,1858,1907,,,,,,,,
CircFootLeft,1027,963,820,364,170,514,831,953,1027,,,,,,,,
CircFootRight,1062,956,731,330,24,309,789,1042,1062,,,,,,,,
LenHead,12456,12456,11115,11293,,,,,,,,,,,,,
LenNeck,11115,11293,10681,10559,,,,,,,,,,,,,
LenTorso,10681,10559,5965,6025,,,,,,,,,,,,,
LenHipdrop,5965,6025,12497,12497,,,,,,,,,,,,,
LenUpperlegLeft,5965,5965,2826,2573,,,,,,,,,,,,,
LenUpperlegRight,6025,6025,2645,2461,,,,,,,,,,,,,
LenLowerlegLeft,2826,2573,282,282,,,,,,,,,,,,,
LenLowerlegRight,2645,2461,235,235,,,,,,,,,,,,,
LenFootLeft,282,451,,,,,,,,,,,,,,,
LenFootRight,235,361,,,,,,,,,,,,,,,
WidthShoulder,10681,10559,,,,,,,,,,,,,,,
WidthHips,5965,6025,,,,,,,,,,,,,,,
WidthFootLeft,369,358,,,,,,,,,,,,,,,
WidthFootRight,365,723,,,,,,,,,,,,,,,
