,GNB,DAL
Points,,
First Downs,32,26
Rush Att,35,26
Rush Yds,164,117
Rush TDs,2,2
Pass Comp,31,31
Pass Att,43,40
Pass Yds,337,319
Pass TD,3,3
Pass INT,0,0
Sacks Taken,1,1
Sacked Yards,12,0
Net Pass Yards,325,319
Total Yards,489,436
Fumbles,1,0
Fumbles Lost,1,0
Turnovers,1,0
Penalties,7,11
Penalty Yds,53,95
3D Conv,10,4
3D Conv Yards,14,11
4D Conv,1,1
4D Conv Yards,1,1
Time of Possession,35:33,34:27
