,NOR,BUF
Points,,
First Downs,22,20
Rush Att,34,32
Rush Yds,189,165
Rush TDs,1,2
Pass Comp,18,16
Pass Att,28,22
Pass Yds,126,209
Pass TD,1,2
Pass INT,1,1
Sacks Taken,3,3
Sacked Yards,17,18
Net Pass Yards,109,191
Total Yards,298,356
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,1,1
Penalties,4,11
Penalty Yds,41,55
3D Conv,5,3
3D Conv Yards,13,10
4D Conv,0,0
4D Conv Yards,2,1
Time of Possession,28:39,31:21
