,ATL,SFO
Points,,
First Downs,19,23
Rush Att,20,39
Rush Yds,62,174
Rush TDs,0,2
Pass Comp,21,17
Pass Att,38,26
Pass Yds,241,152
Pass TD,1,0
Pass INT,0,1
Sacks Taken,2,1
Sacked Yards,11,2
Net Pass Yards,230,150
Total Yards,292,324
Fumbles,1,0
Fumbles Lost,1,0
Turnovers,1,1
Penalties,6,3
Penalty Yds,43,25
3D Conv,5,9
3D Conv Yards,11,15
4D Conv,0,0
4D Conv Yards,2,0
Time of Possession,27:50,32:10
