,LAR,JAX
Points,,
First Downs,26,21
Rush Att,29,19
Rush Yds,89,94
Rush TDs,0,0
Pass Comp,21,23
Pass Att,33,48
Pass Yds,182,296
Pass TD,5,1
Pass INT,0,0
Sacks Taken,0,7
Sacked Yards,0,32
Net Pass Yards,182,264
Total Yards,271,358
Fumbles,0,1
Fumbles Lost,0,0
Turnovers,0,0
Penalties,5,13
Penalty Yds,45,119
3D Conv,2,3
3D Conv Yards,10,15
4D Conv,2,2
4D Conv Yards,2,6
Time of Possession,31:46,28:14
