INDICATOR,MATCHUP,X,Y
RUSH YDS,CIN_Def x CLE_Off,4.53,7.09
RUSH YDS,CIN_Off x CLE_Def,6.3,6.76
PASS YDS,CIN_Def x CLE_Off,4.76,5.25
PASS YDS,CIN_Off x CLE_Def,6.24,6.66
SACKED YDS,CIN_Def x CLE_Off,5.14,4.65
SACKED YDS,CIN_Off x CLE_Def,6.79,4.66
TURNOVERS,CIN_Def x CLE_Off,4.67,2.46
TURNOVERS,CIN_Off x CLE_Def,6.66,2.74
PEN YDS,CIN_Def x CLE_Off,4.94,5.43
PEN YDS,CIN_Off x CLE_Def,6.95,6.13
TIME OF POS,CIN_Def x CLE_Off,4.9,9.95
TIME OF POS,CIN_Off x CLE_Def,6.66,9.12
