,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
SIZE_0,0.4146513697321371,0.1886503084923391,-0.26744687712065857,0.16552053272731504,0.27583357766170014,0.024698468663781465,0.016568311687668202,0.07029202632393632,0.1019796312188363,-0.7445349318203918,0.2165840694230807
SHAPE_1,0.45912220629083833,-0.16154149241645663,0.177404134051087,-0.18667782140699138,-0.10534660478788467,-0.03094221607543569,0.05851686103041539,-0.05075182577169218,-0.015078715967846067,0.2883821914559946,0.7715849631703642
SHAPE_2,0.012423786244289792,-0.6276685462781976,0.047135482885031305,0.04916369854053617,0.24147210597421442,-0.17138226802595852,0.6077759878694711,-0.1171740757900301,0.32867881583047137,-0.06595480347145773,-0.13437688508593404
SHAPE_3,-0.3905533583376928,0.11068826973975261,0.014125478658194971,0.32682079428985333,0.19688604657108727,0.12367653160702002,0.4613726245867115,0.29744325764837737,-0.5130108181161481,0.01939649288556653,0.3305318547763469
SHAPE_4,-0.34658882611876707,0.22383666391580015,0.33341574419350345,0.041336544763535925,0.29994466004927656,-0.15787017448228066,-0.0934516645798313,-0.7187998287854022,0.06851142028558967,-0.13398754130532353,0.23228407305530774
SHAPE_5,0.12248183520294659,0.16964970220610778,0.29566515063461757,0.6169512262408974,-0.35023799726377225,-0.5632923929731276,0.018518186264541225,0.14491109496263185,0.16054590509355643,0.02287631763981939,-0.023770671028901045
SHAPE_6,0.2887136246179347,-0.029149101814036196,0.27714159120921084,0.4486884013356637,-0.132371482729885,0.7102120990302457,0.07895926041942071,-0.2803346198130546,-0.009459976075215468,0.053464460907472894,-0.16725008551281617
SHAPE_7,-0.41792575306209234,0.011492893521594522,-0.18469691525949375,0.1674852587621451,-0.09996814222980625,0.2969511481737172,-0.11103479720426446,0.20371575255741778,0.6986305514165637,0.05952941519595576,0.3455587784704788
SHAPE_8,0.07245461108278875,0.186885078878297,0.675027150492993,-0.23015215891735558,0.4125591595479484,0.09955297896942672,-0.02807832867038325,0.4623104468438458,0.20856101696428775,-0.01128565261409077,-0.11372055735840268
SHAPE_9,-0.016689132026301165,-0.530612999332574,0.0020056978609200144,0.3628642378928312,0.39647279464621676,-0.05255362932847667,-0.6121016030511773,0.11094278948651672,-0.17486008983531262,0.07215004213836207,0.06152986592880197
SHAPE_10,0.2567361697226196,0.3684479504773324,-0.35973410966854336,0.17937350172529515,0.4981967555636081,-0.0793069800557581,0.10463615552971352,-0.08050931404144897,0.159518757439698,0.5723338233845934,-0.10870531619351624
