,LVR,BAL
Points,26,23
First Downs,18,21
Rush Att,17,27
Rush Yds,27,151
Rush TDs,1,1
Pass Comp,30,21
Pass Att,38,34
Pass Yds,276,247
Pass TD,1,1
Pass INT,1,1
Sacks Taken,5,2
Sacked Yards,43,15
Net Pass Yards,233,232
Total Yards,260,383
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,1,1
Penalties,3,11
Penalty Yds,15,109
3D Conv,4,3
3D Conv Yards,12,11
4D Conv,0,1
4D Conv Yards,1,1
Time of Possession,30:43,29:17
