,SFO,MIN
Points,17,23
First Downs,24,17
Rush Att,25,24
Rush Yds,102,146
Rush TDs,1,0
Pass Comp,28,17
Pass Att,36,26
Pass Yds,319,268
Pass TD,1,2
Pass INT,1,1
Sacks Taken,6,4
Sacked Yards,25,11
Net Pass Yards,294,257
Total Yards,396,403
Fumbles,3,3
Fumbles Lost,1,1
Turnovers,2,2
Penalties,4,7
Penalty Yds,30,53
3D Conv,2,7
3D Conv Yards,10,12
4D Conv,1,0
4D Conv Yards,3,0
Time of Possession,34:48,25:12
