,IND,GNB
Points,10,16
First Downs,19,19
Rush Att,18,53
Rush Yds,140,261
Rush TDs,0,0
Pass Comp,17,12
Pass Att,34,14
Pass Yds,204,122
Pass TD,1,1
Pass INT,3,0
Sacks Taken,1,0
Sacked Yards,6,0
Net Pass Yards,198,122
Total Yards,338,383
Fumbles,3,2
Fumbles Lost,0,1
Turnovers,3,1
Penalties,3,6
Penalty Yds,20,50
3D Conv,2,10
3D Conv Yards,9,17
4D Conv,1,0
4D Conv Yards,2,0
Time of Possession,19:49,40:11
