INDICATOR,MATCHUP,X,Y
RushYds,CIN_Defense x CLE_Offense,4.534481591212709,7.092284341896569
RushYds,CIN_Offense x CLE_Defense,6.303909960129013,6.756470061382114
PassYds,CIN_Defense x CLE_Offense,4.759169169833044,5.252652497852466
PassYds,CIN_Offense x CLE_Defense,6.236253776496511,6.664309691561893
SackedYards,CIN_Defense x CLE_Offense,5.144655926887487,4.649003763311287
SackedYards,CIN_Offense x CLE_Defense,6.785815412760607,4.663110313414803
Turnovers,CIN_Defense x CLE_Offense,4.672768271512999,2.4615687280009664
Turnovers,CIN_Offense x CLE_Defense,6.658554246944419,2.7351588165674894
PenaltyYds,CIN_Defense x CLE_Offense,4.944762710617609,5.434695144377685
PenaltyYds,CIN_Offense x CLE_Defense,6.946143096101309,6.126632283699152
TimeofPossession,CIN_Defense x CLE_Offense,4.899434669604763,9.949767856975862
TimeofPossession,CIN_Offense x CLE_Defense,6.658185809407738,9.116067597114785
