INDICATOR,MATCHUP,X,Y
RushYds,SEA_Defense x ATL_Offense,6.2852905506210535,7.490920503019591
RushYds,SEA_Offense x ATL_Defense,6.25808549579101,7.380640869627247
PassYds,SEA_Defense x ATL_Offense,6.583003365801485,6.4878367937880705
PassYds,SEA_Offense x ATL_Defense,6.148939465258479,6.7813464386989395
SackedYards,SEA_Defense x ATL_Offense,7.015630792142585,3.4254757279073544
SackedYards,SEA_Offense x ATL_Defense,6.387213013299891,3.1166117730086165
Turnovers,SEA_Defense x ATL_Offense,7.246898721493637,2.53864844213839
Turnovers,SEA_Offense x ATL_Defense,6.138995368855521,3.8577206402053488
PenaltyYds,SEA_Defense x ATL_Offense,6.26755050450939,5.652112394016242
PenaltyYds,SEA_Offense x ATL_Defense,6.229386573089288,6.860806464780176
TimeofPossession,SEA_Defense x ATL_Offense,7.207071299278859,9.458969366654657
TimeofPossession,SEA_Offense x ATL_Defense,6.2701034475529625,9.726303048053355
