INDICATOR,MATCHUP,X,Y
RushYds,CAR_Defense x WAS_Offense,8.309082808258118,8.732356037859253
RushYds,CAR_Offense x WAS_Defense,5.893503657427146,7.264380472163748
PassYds,CAR_Defense x WAS_Offense,8.53554562691337,7.0546471709117045
PassYds,CAR_Offense x WAS_Defense,5.527386551620186,6.3582151793527455
SackedYards,CAR_Defense x WAS_Offense,8.421862433117322,3.0917026131152716
SackedYards,CAR_Offense x WAS_Defense,6.046056729657068,4.612996571009629
Turnovers,CAR_Defense x WAS_Offense,8.609399096039166,2.640149388512785
Turnovers,CAR_Offense x WAS_Defense,6.432817911370319,2.5793728937861804
PenaltyYds,CAR_Defense x WAS_Offense,8.131912366456223,5.3217066654317735
PenaltyYds,CAR_Offense x WAS_Defense,5.796999986595748,6.2583659420378
TimeofPossession,CAR_Defense x WAS_Offense,8.46741938118543,9.76184590409398
TimeofPossession,CAR_Offense x WAS_Defense,5.318461508933616,8.991074106071238
