INDICATOR,MATCHUP,X,Y
RushYds,DEN_Defense x NOR_Offense,4.952076602523894,6.292542178896464
RushYds,DEN_Offense x NOR_Defense,5.4648485185363835,6.139285328705123
PassYds,DEN_Defense x NOR_Offense,5.006137553401991,5.956963019362544
PassYds,DEN_Offense x NOR_Defense,5.3124163806035805,6.437238722697955
SackedYards,DEN_Defense x NOR_Offense,5.060317231913696,4.053648938029199
SackedYards,DEN_Offense x NOR_Defense,5.481155738119343,3.6886086383514547
Turnovers,DEN_Defense x NOR_Offense,4.785984997241458,3.839889047066765
Turnovers,DEN_Offense x NOR_Defense,5.317780764763929,4.40125774477901
PenaltyYds,DEN_Defense x NOR_Offense,4.775129186881253,6.992839560603561
PenaltyYds,DEN_Offense x NOR_Defense,5.325735468771649,6.423734040902708
TimeofPossession,DEN_Defense x NOR_Offense,5.160828144511487,9.492685603576424
TimeofPossession,DEN_Offense x NOR_Defense,5.027693905549806,9.139227094749875
