INDICATOR,MATCHUP,SCORE
FirstDowns,DET_Defense x MIN_Offense,21.1
FirstDowns,DET_Offense x MIN_Defense,21.3
RushAtt,DET_Defense x MIN_Offense,23.5
RushAtt,DET_Offense x MIN_Defense,19.4
RushYds,DET_Defense x MIN_Offense,25.1
RushYds,DET_Offense x MIN_Defense,20.5
RushTDs,DET_Defense x MIN_Offense,22.0
RushTDs,DET_Offense x MIN_Defense,18.2
PassComp,DET_Defense x MIN_Offense,21.4
PassComp,DET_Offense x MIN_Defense,19.6
PassAtt,DET_Defense x MIN_Offense,21.4
PassAtt,DET_Offense x MIN_Defense,18.3
PassYds,DET_Defense x MIN_Offense,21.8
PassYds,DET_Offense x MIN_Defense,18.5
PassTD,DET_Defense x MIN_Offense,22.9
PassTD,DET_Offense x MIN_Defense,18.7
PassINT,DET_Defense x MIN_Offense,23.8
PassINT,DET_Offense x MIN_Defense,17.9
SackedYards,DET_Defense x MIN_Offense,24.0
SackedYards,DET_Offense x MIN_Defense,24.2
Turnovers,DET_Defense x MIN_Offense,24.6
Turnovers,DET_Offense x MIN_Defense,16.9
PenaltyYds,DET_Defense x MIN_Offense,24.9
PenaltyYds,DET_Offense x MIN_Defense,20.6
TimeofPossession,DET_Defense x MIN_Offense,24.2
TimeofPossession,DET_Offense x MIN_Defense,19.9
