INDICATOR,MATCHUP,X,Y
RushYds,LVR_Defense x LAR_Offense,5.677318689993087,6.778817148880289
RushYds,LVR_Offense x LAR_Defense,5.819599955522098,7.658522297080661
PassYds,LVR_Defense x LAR_Offense,5.838711802810803,6.543062259500035
PassYds,LVR_Offense x LAR_Defense,6.0623584815541545,7.0011418731273904
SackedYards,LVR_Defense x LAR_Offense,5.616879182232644,6.17542888300175
SackedYards,LVR_Offense x LAR_Defense,6.001735189595406,5.532504817252252
Turnovers,LVR_Defense x LAR_Offense,5.9607742355863484,2.4634191319867047
Turnovers,LVR_Offense x LAR_Defense,6.2807918642322855,2.891972995016671
PenaltyYds,LVR_Defense x LAR_Offense,5.517983852128929,5.62769602565428
PenaltyYds,LVR_Offense x LAR_Defense,5.994973499624106,6.5285731577790544
TimeofPossession,LVR_Defense x LAR_Offense,5.772423858257993,9.463840814638592
TimeofPossession,LVR_Offense x LAR_Defense,6.04892349299838,9.250294870524865
