INDICATOR,MATCHUP,X,Y
RushYds,PHI_Defense x NYG_Offense,5.2394101845234715,7.149325002947766
RushYds,PHI_Offense x NYG_Defense,5.35186662812406,7.261282564508324
PassYds,PHI_Defense x NYG_Offense,5.335574461896079,6.392597326874693
PassYds,PHI_Offense x NYG_Defense,5.353157650163418,6.612363998685433
SackedYards,PHI_Defense x NYG_Offense,5.659278142200394,3.5289176640102613
SackedYards,PHI_Offense x NYG_Defense,5.687930483967611,4.097289117286789
Turnovers,PHI_Defense x NYG_Offense,5.167338431920159,2.7714752662593742
Turnovers,PHI_Offense x NYG_Defense,5.224374147195187,3.207536545413245
PenaltyYds,PHI_Defense x NYG_Offense,5.3565404966146515,4.559633698879049
PenaltyYds,PHI_Offense x NYG_Defense,5.29000416489234,5.848607416537231
TimeofPossession,PHI_Defense x NYG_Offense,5.18402493588715,9.611144720154693
TimeofPossession,PHI_Offense x NYG_Defense,5.258480820360068,8.832183095586016
