INDICATOR,MATCHUP,X,Y
RushYds,BAL_Defense x TAM_Offense,5.939969452955452,4.84781602105113
RushYds,BAL_Offense x TAM_Defense,6.039495424140908,8.31003601656723
PassYds,BAL_Defense x TAM_Offense,6.790478768502124,7.924034745948885
PassYds,BAL_Offense x TAM_Defense,6.41576511514975,6.839478593877563
SackedYards,BAL_Defense x TAM_Offense,6.70447205864713,5.6433445349516225
SackedYards,BAL_Offense x TAM_Defense,6.666623039965565,3.2253879696035943
Turnovers,BAL_Defense x TAM_Offense,6.959115886038997,2.6876258940675437
Turnovers,BAL_Offense x TAM_Defense,7.121480221144073,2.889002023240542
PenaltyYds,BAL_Defense x TAM_Offense,6.881321764052417,4.668031878619939
PenaltyYds,BAL_Offense x TAM_Defense,6.68636807339916,7.450942860323076
TimeofPossession,BAL_Defense x TAM_Offense,6.913819544841914,9.113308400835752
TimeofPossession,BAL_Offense x TAM_Defense,6.9790784305503415,9.855524856996777
