INDICATOR,MATCHUP,X,Y
RushYds,TEN_Defense x BUF_Offense,5.832029112669202,6.520533367303716
RushYds,TEN_Offense x BUF_Defense,5.228255440654105,7.402201794048165
PassYds,TEN_Defense x BUF_Offense,6.23967963215577,5.209076720501485
PassYds,TEN_Offense x BUF_Defense,5.245770880530591,5.979840473145968
SackedYards,TEN_Defense x BUF_Offense,6.338372887870821,3.0476571408365523
SackedYards,TEN_Offense x BUF_Defense,5.81903726087321,4.443658083973881
Turnovers,TEN_Defense x BUF_Offense,6.155594292125679,1.8662140683114194
Turnovers,TEN_Offense x BUF_Defense,5.452295114595405,4.546724695258688
PenaltyYds,TEN_Defense x BUF_Offense,6.361326411277161,7.106261943624251
PenaltyYds,TEN_Offense x BUF_Defense,5.33536013676904,7.0346190756037394
TimeofPossession,TEN_Defense x BUF_Offense,6.023469105073944,8.928774230270944
TimeofPossession,TEN_Offense x BUF_Defense,5.243892329749642,9.782213312626688
