INDICATOR,MATCHUP,X,Y
RushYds,NYJ_Defense x PIT_Offense,5.365312925459471,7.530488393918845
RushYds,NYJ_Offense x PIT_Defense,4.54589302414588,5.2196012118353545
PassYds,NYJ_Defense x PIT_Offense,5.30534898844271,5.586995647138519
PassYds,NYJ_Offense x PIT_Defense,4.609699452194859,6.89466430654927
SackedYards,NYJ_Defense x PIT_Offense,5.396199509048251,5.980543407949488
SackedYards,NYJ_Offense x PIT_Defense,5.233859220365566,5.481102372554279
Turnovers,NYJ_Defense x PIT_Offense,5.558085054854515,2.8149183044781316
Turnovers,NYJ_Offense x PIT_Defense,4.959806025911859,4.250081421421331
PenaltyYds,NYJ_Defense x PIT_Offense,5.242272989790385,6.890918414684785
PenaltyYds,NYJ_Offense x PIT_Defense,4.8832369601476815,8.798960750384706
TimeofPossession,NYJ_Defense x PIT_Offense,5.507715664655513,9.674776962927563
TimeofPossession,NYJ_Offense x PIT_Defense,4.688980894454781,9.237798784623061
