INDICATOR,MATCHUP,X,Y
RushYds,NWE_Defense x JAX_Offense,5.2952150345335225,6.820678103413362
RushYds,NWE_Offense x JAX_Defense,5.352620966470932,5.9875104403016675
PassYds,NWE_Defense x JAX_Offense,4.507345896495358,6.16432044005646
PassYds,NWE_Offense x JAX_Defense,5.100727035920786,5.959058320006705
SackedYards,NWE_Defense x JAX_Offense,5.601699779698434,4.591991899394817
SackedYards,NWE_Offense x JAX_Defense,5.239062609138416,5.513713352513496
Turnovers,NWE_Defense x JAX_Offense,5.1735126280033805,3.537401295672409
Turnovers,NWE_Offense x JAX_Defense,5.163269182509975,1.6351314725961748
PenaltyYds,NWE_Defense x JAX_Offense,5.420252636815119,5.7628579874958765
PenaltyYds,NWE_Offense x JAX_Defense,5.10055226546995,8.656188375839694
TimeofPossession,NWE_Defense x JAX_Offense,5.241762370613679,8.973815452326049
TimeofPossession,NWE_Offense x JAX_Defense,5.382233518441393,10.197134138486646
