INDICATOR,MATCHUP,X,Y
RushYds,LAC_Defense x ARI_Offense,4.302393052959784,5.7850374709957135
RushYds,LAC_Offense x ARI_Defense,5.234921303871066,7.539159441411944
PassYds,LAC_Defense x ARI_Offense,4.568449196601355,6.348241534261498
PassYds,LAC_Offense x ARI_Defense,5.224746801234672,6.096052264813895
SackedYards,LAC_Defense x ARI_Offense,4.820587777368219,4.397455262819154
SackedYards,LAC_Offense x ARI_Defense,6.1656361874160455,3.5420349011862764
Turnovers,LAC_Defense x ARI_Offense,4.622651210579437,4.083979382624465
Turnovers,LAC_Offense x ARI_Defense,5.361638921571723,2.8646158506697392
PenaltyYds,LAC_Defense x ARI_Offense,4.58237454010608,4.693260370010713
PenaltyYds,LAC_Offense x ARI_Defense,6.059642741074396,4.239820662984798
TimeofPossession,LAC_Defense x ARI_Offense,4.486697884912661,8.436802503488332
TimeofPossession,LAC_Offense x ARI_Defense,5.749825353254601,9.97813443162752
