INDICATOR,MATCHUP,X,Y
RushYds,KAN_Defense x SFO_Offense,5.502049616901292,7.133054630051608
RushYds,KAN_Offense x SFO_Defense,6.189376792176038,6.806548152991765
PassYds,KAN_Defense x SFO_Offense,6.066528435148641,7.588019367064278
PassYds,KAN_Offense x SFO_Defense,6.089667020577912,7.011742054934148
SackedYards,KAN_Defense x SFO_Offense,6.11497741643179,3.044126853892488
SackedYards,KAN_Offense x SFO_Defense,6.221166174810164,3.3083047422038865
Turnovers,KAN_Defense x SFO_Offense,5.860470509347322,3.240992628338041
Turnovers,KAN_Offense x SFO_Defense,6.098309201085692,4.149451996849698
PenaltyYds,KAN_Defense x SFO_Offense,5.430848207094667,5.788021302567501
PenaltyYds,KAN_Offense x SFO_Defense,6.204337228692953,6.385046636862824
TimeofPossession,KAN_Defense x SFO_Offense,5.991411671485596,10.077055573669343
TimeofPossession,KAN_Offense x SFO_Defense,6.179792010025585,8.769101863143181
