INDICATOR,MATCHUP,X,Y
RushYds,HOU_Defense x GNB_Offense,6.688854093272991,7.161683892383018
RushYds,HOU_Offense x GNB_Defense,5.384201818202518,5.665582715158108
PassYds,HOU_Defense x GNB_Offense,6.5017081068028375,5.975793004239022
PassYds,HOU_Offense x GNB_Defense,5.83708448997877,7.659880282582991
SackedYards,HOU_Defense x GNB_Offense,6.614594001640371,3.9607911312735307
SackedYards,HOU_Offense x GNB_Defense,6.494094759590625,5.239642744859211
Turnovers,HOU_Defense x GNB_Offense,6.742747740316308,2.9157777585185074
Turnovers,HOU_Offense x GNB_Defense,4.941536816928585,5.157514028232029
PenaltyYds,HOU_Defense x GNB_Offense,6.094557176256524,5.365579282382368
PenaltyYds,HOU_Offense x GNB_Defense,5.984459250976193,7.321717996707732
TimeofPossession,HOU_Defense x GNB_Offense,6.699042367429293,8.968940676249682
TimeofPossession,HOU_Offense x GNB_Defense,5.999430297175751,9.723177290815658
