,CLE,CIN
Points,,
First Downs,11,24
Rush Att,24,25
Rush Yds,118,142
Rush TDs,0,0
Pass Comp,11,29
Pass Att,22,39
Pass Yds,111,236
Pass TD,0,3
Pass INT,0,1
Sacks Taken,6,2
Sacked Yards,29,14
Net Pass Yards,82,222
Total Yards,200,364
Fumbles,1,1
Fumbles Lost,1,1
Turnovers,1,2
Penalties,4,6
Penalty Yds,40,40
3D Conv,5,5
3D Conv Yards,14,11
4D Conv,1,1
4D Conv Yards,1,1
Time of Possession,24:26,35:34
