,NYJ,BUF
Points,,
First Downs,9,30
Rush Att,23,43
Rush Yds,69,211
Rush TDs,0,1
Pass Comp,11,22
Pass Att,22,29
Pass Yds,60,259
Pass TD,1,4
Pass INT,0,0
Sacks Taken,1,0
Sacked Yards,7,0
Net Pass Yards,53,259
Total Yards,122,470
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,0,0
Penalties,4,3
Penalty Yds,27,28
3D Conv,5,6
3D Conv Yards,13,13
4D Conv,1,3
4D Conv Yards,3,5
Time of Possession,21:40,38:20
