,KAN,LVR
Points,,
First Downs,10,12
Rush Att,23,32
Rush Yds,84,118
Rush TDs,0,0
Pass Comp,18,11
Pass Att,31,26
Pass Yds,146,105
Pass TD,0,0
Pass INT,0,1
Sacks Taken,8,3
Sacked Yards,62,19
Net Pass Yards,84,86
Total Yards,168,204
Fumbles,3,2
Fumbles Lost,2,1
Turnovers,2,2
Penalties,7,2
Penalty Yds,45,10
3D Conv,3,4
3D Conv Yards,17,16
4D Conv,1,0
4D Conv Yards,1,2
Time of Possession,29:16,30:44
