,LAC,DEN
Points,,
First Downs,13,13
Rush Att,21,31
Rush Yds,113,116
Rush TDs,0,0
Pass Comp,20,14
Pass Att,44,23
Pass Yds,136,141
Pass TD,0,0
Pass INT,1,0
Sacks Taken,4,4
Sacked Yards,32,17
Net Pass Yards,104,124
Total Yards,217,240
Fumbles,1,0
Fumbles Lost,1,0
Turnovers,2,0
Penalties,5,1
Penalty Yds,25,5
3D Conv,7,5
3D Conv Yards,20,15
4D Conv,3,0
4D Conv Yards,5,0
Time of Possession,25:59,34:01
