,PIT,DET
Points,,
First Downs,23,23
Rush Att,27,12
Rush Yds,230,15
Rush TDs,2,0
Pass Comp,27,34
Pass Att,41,54
Pass Yds,266,364
Pass TD,1,3
Pass INT,0,0
Sacks Taken,2,3
Sacked Yards,15,18
Net Pass Yards,251,346
Total Yards,481,361
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,1,0
Penalties,8,7
Penalty Yds,89,40
3D Conv,8,6
3D Conv Yards,16,15
4D Conv,2,1
4D Conv Yards,2,2
Time of Possession,34:06,25:54
