,LAR,SEA
Points,,
First Downs,26,22
Rush Att,39,25
Rush Yds,124,171
Rush TDs,1,2
Pass Comp,29,22
Pass Att,49,34
Pass Yds,457,270
Pass TD,3,2
Pass INT,0,2
Sacks Taken,0,4
Sacked Yards,0,26
Net Pass Yards,457,244
Total Yards,581,415
Fumbles,0,1
Fumbles Lost,0,1
Turnovers,0,3
Penalties,8,5
Penalty Yds,54,40
3D Conv,8,4
3D Conv Yards,20,11
4D Conv,2,0
4D Conv Yards,3,0
Time of Possession,40:33,26:14
