,MIN,NYG
Points,,
First Downs,17,12
Rush Att,31,30
Rush Yds,114,128
Rush TDs,1,0
Pass Comp,16,7
Pass Att,23,13
Pass Yds,160,33
Pass TD,0,0
Pass INT,1,1
Sacks Taken,4,5
Sacked Yards,34,20
Net Pass Yards,126,13
Total Yards,240,141
Fumbles,1,0
Fumbles Lost,1,0
Turnovers,2,1
Penalties,11,11
Penalty Yds,90,74
3D Conv,7,2
3D Conv Yards,12,10
4D Conv,1,1
4D Conv Yards,1,3
Time of Possession,31:01,28:59
