Unnamed: 0,week_3,week_4,week_5
Points,20,42,bye
First Downs,23,21,bye
Rush Att,43,28,bye
Rush Yds,187,116,bye
Rush TDs,1,3,bye
Pass Comp,18,19,bye
Pass Att,23,19,bye
Pass Yds,199,299,bye
Pass TD,2,3,bye
Pass INT,1,0,bye
Sacks Taken,2,3,bye
Sacked Yards,13,26,bye
Net Pass Yards,186,273,bye
Total Yards,373,389,bye
Fumbles,0,0,bye
Fumbles Lost,0,0,bye
Turnovers,1,0,bye
Penalties,9,12,bye
Penalty Yds,79,101,bye
3D Conv,6,3,bye
3D Conv Yards,12,6,bye
4D Conv,0,0,bye
4D Conv Yards,1,0,bye
Time of Possession,36:49,25:56,bye
