Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,22,23,36,16,34,32,20
First Downs,11,21,24,16,18,18,15
Rush Att,27,27,31,22,28,35,28
Rush Yds,176,151,131,92,109,183,115
Rush TDs,1,1,1,0,1,3,2
Pass Comp,17,21,26,24,19,14,14
Pass Att,26,34,37,32,27,24,23
Pass Yds,144,247,319,176,206,145,154
Pass TD,1,1,3,1,2,0,0
Pass INT,0,1,0,1,0,0,1
Sacks Taken,1,2,2,3,3,3,1
Sacked Yards,4,15,13,27,26,35,10
Net Pass Yards,140,232,306,149,180,110,144
Total Yards,316,383,437,241,289,293,259
Fumbles,0,0,0,1,1,1,0
Fumbles Lost,0,0,0,0,0,0,0
Turnovers,0,1,0,1,0,0,1
Penalties,7,11,7,5,9,7,3
Penalty Yds,50,109,51,38,44,50,28
3D Conv,4,3,5,3,3,4,2
3D Conv Yards,15,11,12,10,12,13,10
4D Conv,0,1,0,0,1,1,0
4D Conv Yards,0,1,0,1,1,1,1
Time of Possession,28:16,29:17,36:02,30:42,28:37,31:51,26:12
