Unnamed: 0,week_3,week_4,week_5
Points,3,13,10
First Downs,11,12,15
Rush Att,15,24,19
Rush Yds,78,73,151
Rush TDs,0,0,1
Pass Comp,16,19,18
Pass Att,26,32,34
Pass Yds,120,168,160
Pass TD,0,1,0
Pass INT,0,1,0
Sacks Taken,7,6,2
Sacked Yards,59,25,12
Net Pass Yards,61,143,148
Total Yards,139,216,299
Fumbles,1,4,0
Fumbles Lost,1,2,0
Turnovers,1,3,0
Penalties,5,3,12
Penalty Yds,70,20,105
3D Conv,2,5,4
3D Conv Yards,11,16,13
4D Conv,3,1,0
4D Conv Yards,3,3,1
Time of Possession,19:56,28:25,25:40
