Unnamed: 0,week_3,week_4,week_5
Points,27,13,24
First Downs,19,12,19
Rush Att,26,24,26
Rush Yds,98,73,169
Rush TDs,2,0,1
Pass Comp,16,19,19
Pass Att,26,32,30
Pass Yds,221,168,195
Pass TD,1,1,1
Pass INT,0,1,1
Sacks Taken,3,6,1
Sacked Yards,23,25,6
Net Pass Yards,198,143,189
Total Yards,296,216,358
Fumbles,0,4,1
Fumbles Lost,0,2,0
Turnovers,0,3,1
Penalties,8,3,1
Penalty Yds,75,20,5
3D Conv,5,5,3
3D Conv Yards,12,16,10
4D Conv,2,1,1
4D Conv Yards,2,3,1
Time of Possession,26:33,28:25,27:02
