Unnamed: 0,week_3,week_4,week_5
Points,10,20,37
First Downs,19,17,20
Rush Att,17,24,23
Rush Yds,92,158,126
Rush TDs,0,0,2
Pass Comp,26,18,28
Pass Att,46,33,34
Pass Yds,200,169,371
Pass TD,1,2,2
Pass INT,1,0,1
Sacks Taken,5,1,0
Sacked Yards,53,14,0
Net Pass Yards,147,155,371
Total Yards,239,313,497
Fumbles,1,1,2
Fumbles Lost,1,0,1
Turnovers,2,0,2
Penalties,7,6,3
Penalty Yds,45,44,25
3D Conv,2,4,3
3D Conv Yards,13,12,10
4D Conv,4,0,1
4D Conv Yards,8,1,2
Time of Possession,28:20,26:43,28:28
