Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,37,20,7,33,30,51,31
First Downs,22,14,17,29,21,31,28
Rush Att,30,23,16,25,26,35,30
Rush Yds,112,70,91,111,160,277,125
Rush TDs,0,1,0,2,0,2,1
Pass Comp,24,12,25,30,19,24,31
Pass Att,30,19,33,47,24,36,45
Pass Yds,289,185,163,347,180,325,370
Pass TD,4,1,1,2,3,4,3
Pass INT,0,1,1,0,0,3,2
Sacks Taken,1,5,7,2,1,1,3
Sacked Yards,9,39,31,13,7,8,14
Net Pass Yards,280,146,132,334,173,317,356
Total Yards,392,216,223,445,333,594,481
Fumbles,0,2,1,1,2,1,1
Fumbles Lost,0,0,1,0,1,0,0
Turnovers,0,1,2,0,1,3,2
Penalties,7,4,5,3,5,12,8
Penalty Yds,46,35,19,20,47,86,75
3D Conv,9,2,3,6,6,6,11
3D Conv Yards,13,10,11,13,11,10,17
4D Conv,0,0,0,1,0,0,1
4D Conv Yards,0,0,2,1,0,0,1
Time of Possession,33:41,26:07,27:52,36:17,27:38,34:02,35:05
