Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,17,17,14,31,bye,17,10
First Downs,16,20,18,16,bye,16,18
Rush Att,26,28,11,40,bye,28,24
Rush Yds,140,130,33,142,bye,146,89
Rush TDs,1,1,0,2,bye,1,0
Pass Comp,19,19,26,12,bye,16,25
Pass Att,32,28,34,21,bye,27,40
Pass Yds,127,192,260,110,bye,95,215
Pass TD,1,1,2,0,bye,1,1
Pass INT,2,1,2,1,bye,1,1
Sacks Taken,3,4,8,1,bye,0,3
Sacked Yards,23,22,56,8,bye,0,15
Net Pass Yards,104,170,204,102,bye,95,200
Total Yards,244,300,237,244,bye,241,289
Fumbles,1,1,1,0,bye,1,4
Fumbles Lost,1,1,1,0,bye,0,1
Turnovers,3,2,3,1,bye,1,2
Penalties,8,5,2,8,bye,11,8
Penalty Yds,50,45,15,69,bye,113,52
3D Conv,3,5,3,2,bye,4,6
3D Conv Yards,14,12,9,12,bye,11,16
4D Conv,1,0,0,1,bye,1,1
4D Conv Yards,2,1,1,1,bye,1,2
Time of Possession,34:54,29:57,27:32,34:52,bye,30:32,32:46
