Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,10,23,24,30,15,41,32
First Downs,13,18,27,19,24,20,23
Rush Att,16,19,33,32,41,28,39
Rush Yds,70,46,133,148,193,192,171
Rush TDs,1,1,1,1,1,2,2
Pass Comp,21,33,27,15,18,20,15
Pass Att,29,44,35,27,31,32,20
Pass Yds,164,327,281,288,194,192,193
Pass TD,0,1,2,1,0,3,1
Pass INT,0,0,0,1,1,1,0
Sacks Taken,3,3,2,1,3,2,0
Sacked Yards,10,15,14,5,15,16,0
Net Pass Yards,154,312,267,283,179,176,193
Total Yards,224,358,400,431,372,368,364
Fumbles,3,0,1,3,3,1,0
Fumbles Lost,2,0,0,1,1,0,0
Turnovers,2,0,0,2,2,1,0
Penalties,2,6,8,6,6,4,4
Penalty Yds,10,50,106,43,54,38,24
3D Conv,4,7,10,7,2,4,6
3D Conv Yards,11,15,15,13,11,11,10
4D Conv,0,1,0,0,0,0,0
4D Conv Yards,1,2,0,0,1,0,1
Time of Possession,25:57,29:41,40:04,31:35,34:20,30:47,33:15
