Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,47,26,22,34,36,38,40
First Downs,22,21,20,24,24,25,26
Rush Att,37,44,16,31,39,38,37
Rush Yds,180,219,55,141,128,198,214
Rush TDs,2,1,1,2,3,3,1
Pass Comp,19,14,27,22,20,19,20
Pass Att,24,20,40,31,29,30,25
Pass Yds,200,130,296,232,304,225,211
Pass TD,3,2,2,2,2,1,2
Pass INT,0,1,1,1,0,0,0
Sacks Taken,1,1,3,0,1,0,1
Sacked Yards,1,0,20,0,8,0,4
Net Pass Yards,199,130,276,232,296,225,207
Total Yards,379,349,331,373,424,423,421
Fumbles,1,1,0,0,0,1,1
Fumbles Lost,1,1,0,0,0,1,0
Turnovers,1,2,1,1,0,1,0
Penalties,10,3,6,5,5,5,8
Penalty Yds,95,15,54,39,46,45,55
3D Conv,7,9,3,7,4,6,5
3D Conv Yards,13,16,11,13,11,12,10
4D Conv,0,0,1,0,0,0,0
4D Conv Yards,0,0,3,0,1,0,0
Time of Possession,36:39,36:18,23:58,28:58,33:48,30:40,35:05
