Unnamed: 0,week_3,week_4,week_5
Points,14,31,19
First Downs,18,22,24
Rush Att,11,34,28
Rush Yds,33,120,134
Rush TDs,0,1,1
Pass Comp,26,20,29
Pass Att,34,28,45
Pass Yds,260,275,260
Pass TD,2,3,1
Pass INT,2,1,1
Sacks Taken,8,2,3
Sacked Yards,56,21,24
Net Pass Yards,204,254,236
Total Yards,237,374,370
Fumbles,1,2,1
Fumbles Lost,1,2,1
Turnovers,3,3,2
Penalties,2,7,5
Penalty Yds,15,55,30
3D Conv,3,4,8
3D Conv Yards,9,11,16
4D Conv,0,0,2
4D Conv Yards,1,1,4
Time of Possession,27:32,32:15,32:41
