Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,17,18,15,16,13,16
First Downs,15,17,16,16,12,14
Rush Att,19,29,18,22,23,25
Rush Yds,93,125,69,92,104,100
Rush TDs,1,1,0,0,0,0
Pass Comp,24,22,21,24,16,16
Pass Att,45,34,37,32,29,23
Pass Yds,169,186,196,176,141,168
Pass TD,1,0,2,1,1,0
Pass INT,2,0,0,1,0,0
Sacks Taken,6,2,8,3,7,5
Sacked Yards,32,14,48,27,33,24
Net Pass Yards,137,172,148,149,108,144
Total Yards,230,297,217,241,212,244
Fumbles,1,1,2,1,1,0
Fumbles Lost,0,0,2,0,1,0
Turnovers,2,0,2,1,1,0
Penalties,11,13,5,5,9,7
Penalty Yds,64,100,48,38,52,55
3D Conv,2,2,4,3,1,3
3D Conv Yards,15,14,14,10,13,12
4D Conv,3,3,1,0,2,1
4D Conv Yards,5,3,3,1,3,1
Time of Possession,30:54,34:23,26:04,30:42,28:42,31:27
