Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,10,26,22,20,18,13
First Downs,14,18,20,17,20,16
Rush Att,22,17,16,29,25,19
Rush Yds,71,27,55,152,115,57
Rush TDs,0,1,1,2,1,1
Pass Comp,25,30,27,14,22,27
Pass Att,33,38,40,24,37,40
Pass Yds,257,276,296,130,231,227
Pass TD,1,1,2,0,1,1
Pass INT,1,1,1,0,3,1
Sacks Taken,4,5,3,2,3,1
Sacked Yards,32,43,20,14,16,9
Net Pass Yards,225,233,276,116,215,218
Total Yards,296,260,331,268,330,275
Fumbles,2,1,0,1,0,3
Fumbles Lost,2,0,0,1,0,2
Turnovers,3,1,1,1,3,3
Penalties,2,3,6,6,11,4
Penalty Yds,15,15,54,49,79,42
3D Conv,5,4,3,4,7,2
3D Conv Yards,14,12,11,12,15,11
4D Conv,0,0,1,0,0,1
4D Conv Yards,1,1,3,0,1,3
Time of Possession,31:44,30:43,23:58,29:18,31:23,28:09
