Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,20,10,3,12,15,bye,10
First Downs,18,20,13,13,24,bye,18
Rush Att,25,34,18,30,41,bye,40
Rush Yds,81,139,65,106,193,bye,188
Rush TDs,1,0,0,1,1,bye,0
Pass Comp,23,25,20,14,18,bye,15
Pass Att,37,39,32,22,31,bye,26
Pass Yds,338,225,186,96,194,bye,161
Pass TD,1,1,0,0,0,bye,1
Pass INT,0,3,0,0,1,bye,0
Sacks Taken,3,2,6,2,3,bye,2
Sacked Yards,19,13,46,18,15,bye,12
Net Pass Yards,319,212,140,78,179,bye,149
Total Yards,400,351,205,184,372,bye,337
Fumbles,0,0,3,1,3,bye,2
Fumbles Lost,0,0,0,1,1,bye,2
Turnovers,0,3,0,1,2,bye,2
Penalties,9,7,11,10,6,bye,6
Penalty Yds,103,50,85,98,54,bye,50
3D Conv,8,7,1,2,2,bye,6
3D Conv Yards,16,15,12,12,11,bye,15
4D Conv,0,1,0,1,0,bye,0
4D Conv Yards,2,5,3,3,1,bye,1
Time of Possession,33:10,36:19,28:32,25:08,34:20,bye,31:11
