Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,27,26,22,17,26,bye
First Downs,21,19,22,16,28,bye
Rush Att,20,32,33,26,39,bye
Rush Yds,72,149,128,101,139,bye
Rush TDs,2,0,0,1,2,bye
Pass Comp,20,18,26,19,28,bye
Pass Att,28,25,39,29,39,bye
Pass Yds,291,151,217,245,331,bye
Pass TD,1,2,2,1,0,bye
Pass INT,1,2,1,1,1,bye
Sacks Taken,2,2,0,3,2,bye
Sacked Yards,10,14,0,17,10,bye
Net Pass Yards,281,137,217,228,321,bye
Total Yards,353,286,345,329,460,bye
Fumbles,0,1,0,1,1,bye
Fumbles Lost,0,1,0,1,0,bye
Turnovers,1,3,1,2,1,bye
Penalties,6,4,6,5,6,bye
Penalty Yds,45,44,61,40,55,bye
3D Conv,4,1,6,9,6,bye
3D Conv Yards,9,8,14,16,14,bye
4D Conv,0,2,1,0,1,bye
4D Conv Yards,0,2,1,0,1,bye
Time of Possession,26:17,28:31,34:57,29:08,39:56,bye
