Unnamed: 0,week_3,week_4,week_5
Points,7,9,18
First Downs,17,16,20
Rush Att,16,23,25
Rush Yds,91,64,115
Rush TDs,0,0,1
Pass Comp,25,24,22
Pass Att,33,42,37
Pass Yds,163,225,231
Pass TD,1,0,1
Pass INT,1,0,3
Sacks Taken,7,5,3
Sacked Yards,31,41,16
Net Pass Yards,132,184,215
Total Yards,223,248,330
Fumbles,1,1,0
Fumbles Lost,1,1,0
Turnovers,2,1,3
Penalties,5,13,11
Penalty Yds,19,90,79
3D Conv,3,4,7
3D Conv Yards,11,17,15
4D Conv,0,0,0
4D Conv Yards,2,1,1
Time of Possession,27:52,31:44,31:23
