Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,20,25,17,10,13,bye,18
First Downs,25,18,19,12,14,bye,19
Rush Att,32,22,25,24,15,bye,24
Rush Yds,185,74,82,55,46,bye,101
Rush TDs,1,0,1,0,0,bye,2
Pass Comp,26,23,20,16,20,bye,17
Pass Att,41,36,29,27,35,bye,31
Pass Yds,273,258,230,179,182,bye,212
Pass TD,1,2,1,1,2,bye,0
Pass INT,0,0,1,0,1,bye,3
Sacks Taken,1,3,2,2,1,bye,1
Sacked Yards,6,12,1,10,8,bye,3
Net Pass Yards,267,246,229,169,174,bye,209
Total Yards,452,320,311,224,220,bye,310
Fumbles,1,3,2,2,0,bye,1
Fumbles Lost,1,1,0,0,0,bye,0
Turnovers,1,1,1,0,1,bye,3
Penalties,7,8,6,9,5,bye,6
Penalty Yds,64,79,44,51,70,bye,40
3D Conv,7,4,2,4,4,bye,2
3D Conv Yards,14,13,9,13,10,bye,11
4D Conv,1,2,1,0,0,bye,1
4D Conv Yards,2,2,3,1,2,bye,1
Time of Possession,33:43,31:29,25:03,30:52,20:04,bye,24:56
