Unnamed: 0,week_3,week_4,week_5
Points,3,42,29
First Downs,13,21,24
Rush Att,18,28,34
Rush Yds,65,116,175
Rush TDs,0,3,0
Pass Comp,20,19,23
Pass Att,32,19,34
Pass Yds,186,299,257
Pass TD,0,3,2
Pass INT,0,0,0
Sacks Taken,6,3,3
Sacked Yards,46,26,12
Net Pass Yards,140,273,245
Total Yards,205,389,420
Fumbles,3,0,2
Fumbles Lost,0,0,1
Turnovers,0,0,1
Penalties,11,12,2
Penalty Yds,85,101,20
3D Conv,1,3,7
3D Conv Yards,12,6,16
4D Conv,0,0,0
4D Conv Yards,3,0,1
Time of Possession,28:32,25:56,37:22
