Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,17,19,21,18,10,16,bye
First Downs,16,15,15,21,14,17,bye
Rush Att,26,22,33,26,19,20,bye
Rush Yds,140,75,150,119,120,68,bye
Rush TDs,1,0,3,1,1,0,bye
Pass Comp,19,23,10,20,22,24,bye
Pass Att,32,36,20,29,35,36,bye
Pass Yds,127,260,167,224,194,240,bye
Pass TD,1,1,0,0,0,2,bye
Pass INT,2,0,2,1,1,1,bye
Sacks Taken,3,3,1,3,4,4,bye
Sacked Yards,23,25,11,21,22,30,bye
Net Pass Yards,104,235,156,203,172,210,bye
Total Yards,244,310,306,322,292,278,bye
Fumbles,1,1,0,1,4,2,bye
Fumbles Lost,1,1,0,1,2,1,bye
Turnovers,3,1,2,2,3,2,bye
Penalties,8,12,9,6,4,8,bye
Penalty Yds,50,115,78,44,18,43,bye
3D Conv,3,4,3,5,3,7,bye
3D Conv Yards,14,14,12,11,12,15,bye
4D Conv,1,1,0,0,1,2,bye
4D Conv Yards,2,1,1,0,3,2,bye
Time of Possession,34:54,28:47,24:59,31:02,26:12,29:20,bye
