Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,16,26,38,24,41,7,14
First Downs,17,19,22,24,30,24,18
Rush Att,39,32,32,29,34,31,21
Rush Yds,170,149,108,155,175,119,77
Rush TDs,1,0,3,1,1,1,1
Pass Comp,15,18,21,25,26,22,31
Pass Att,24,25,23,41,42,41,52
Pass Yds,121,151,254,220,348,205,277
Pass TD,0,2,2,2,4,0,1
Pass INT,0,2,0,1,0,1,2
Sacks Taken,1,2,2,0,1,2,4
Sacked Yards,1,14,6,0,3,15,18
Net Pass Yards,120,137,248,220,345,190,259
Total Yards,290,286,356,375,520,309,336
Fumbles,1,1,1,0,2,0,1
Fumbles Lost,0,1,0,0,1,0,0
Turnovers,0,3,0,1,1,1,2
Penalties,5,4,3,6,5,2,10
Penalty Yds,40,44,28,37,21,9,80
3D Conv,6,1,5,7,10,5,8
3D Conv Yards,15,8,9,14,15,15,19
4D Conv,0,2,3,1,1,3,1
4D Conv Yards,0,2,3,3,1,5,2
Time of Possession,34:03,28:31,33:06,31:02,33:45,34:07,34:29
