Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,19,24,24,9,17,20
First Downs,14,16,27,16,17,20
Rush Att,19,24,33,23,14,21
Rush Yds,68,101,133,64,36,121
Rush TDs,1,1,1,0,0,0
Pass Comp,19,18,27,24,29,23
Pass Att,29,30,35,42,54,35
Pass Yds,203,176,281,225,244,294
Pass TD,2,2,2,0,2,2
Pass INT,1,0,0,0,3,1
Sacks Taken,1,2,2,5,3,3
Sacked Yards,5,12,14,41,26,22
Net Pass Yards,198,164,267,184,218,272
Total Yards,266,265,400,248,254,393
Fumbles,1,0,1,1,1,1
Fumbles Lost,1,0,0,1,0,0
Turnovers,2,0,0,1,3,1
Penalties,3,7,8,13,8,11
Penalty Yds,10,70,106,90,76,110
3D Conv,6,5,10,4,5,4
3D Conv Yards,10,12,15,17,17,12
4D Conv,0,0,0,0,0,0
4D Conv Yards,1,0,0,1,1,0
Time of Possession,21:20,30:03,40:04,31:44,29:23,30:26
