Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,22,26,10,10,bye,23,15
First Downs,11,21,10,12,bye,22,20
Rush Att,27,44,20,24,bye,38,22
Rush Yds,176,219,61,55,bye,128,59
Rush TDs,1,1,0,0,bye,1,0
Pass Comp,17,14,14,16,bye,21,27
Pass Att,26,20,20,27,bye,34,39
Pass Yds,144,130,149,179,bye,237,349
Pass TD,1,2,1,1,bye,1,0
Pass INT,0,1,0,0,bye,0,0
Sacks Taken,1,1,5,2,bye,3,3
Sacked Yards,4,0,44,10,bye,15,13
Net Pass Yards,140,130,105,169,bye,222,336
Total Yards,316,349,166,224,bye,350,395
Fumbles,0,1,2,2,bye,1,3
Fumbles Lost,0,1,0,0,bye,0,2
Turnovers,0,2,0,0,bye,0,2
Penalties,7,3,7,9,bye,3,5
Penalty Yds,50,15,69,51,bye,20,57
3D Conv,4,9,3,4,bye,11,6
3D Conv Yards,15,16,11,13,bye,18,14
4D Conv,0,0,0,0,bye,0,1
4D Conv Yards,0,0,0,1,bye,0,1
Time of Possession,28:16,36:18,26:09,30:52,bye,37:23,34:14
