Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,28,21,15,20,20,17,28
First Downs,17,22,16,14,17,13,20
Rush Att,26,35,18,23,11,20,45
Rush Yds,111,215,69,80,102,121,269
Rush TDs,1,0,0,0,0,2,3
Pass Comp,19,23,21,22,28,19,10
Pass Att,24,29,37,27,40,28,15
Pass Yds,208,226,196,221,284,208,114
Pass TD,2,0,2,2,1,0,1
Pass INT,1,0,0,0,0,0,0
Sacks Taken,1,5,8,1,7,4,5
Sacked Yards,7,16,48,8,53,25,44
Net Pass Yards,201,210,148,213,231,183,70
Total Yards,312,425,217,293,333,304,339
Fumbles,1,0,2,1,1,2,0
Fumbles Lost,1,0,2,0,1,1,0
Turnovers,2,0,2,0,1,1,0
Penalties,7,10,5,11,6,6,6
Penalty Yds,63,69,48,89,30,67,35
3D Conv,3,7,4,3,3,4,1
3D Conv Yards,10,14,14,10,11,11,13
4D Conv,1,1,1,1,0,0,3
4D Conv Yards,1,1,3,1,2,0,3
Time of Possession,27:34,37:32,26:04,24:23,22:38,25:53,35:20
