Unnamed: 0,week_3,week_4,week_5
Points,15,26,26
First Downs,20,14,28
Rush Att,25,15,39
Rush Yds,172,88,139
Rush TDs,2,0,2
Pass Comp,29,21,28
Pass Att,38,35,39
Pass Yds,311,238,331
Pass TD,0,0,0
Pass INT,1,1,1
Sacks Taken,4,1,2
Sacked Yards,23,11,10
Net Pass Yards,288,227,321
Total Yards,460,315,460
Fumbles,2,1,1
Fumbles Lost,1,0,0
Turnovers,2,1,1
Penalties,7,9,6
Penalty Yds,45,76,55
3D Conv,6,4,6
3D Conv Yards,14,11,14
4D Conv,1,0,1
4D Conv Yards,3,0,1
Time of Possession,32:15,24:18,39:56
