Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,24,24,30,12,bye,20,34
First Downs,11,16,16,13,bye,20,18
Rush Att,22,24,37,30,bye,28,20
Rush Yds,84,101,188,106,bye,80,74
Rush TDs,0,1,1,1,bye,0,2
Pass Comp,14,18,13,14,bye,22,21
Pass Att,29,30,19,22,bye,38,33
Pass Yds,93,176,202,96,bye,189,323
Pass TD,0,2,1,0,bye,2,2
Pass INT,0,0,0,0,bye,1,0
Sacks Taken,2,2,3,2,bye,0,1
Sacked Yards,29,12,12,18,bye,0,8
Net Pass Yards,64,164,190,78,bye,189,315
Total Yards,148,265,378,184,bye,269,389
Fumbles,3,0,0,1,bye,0,1
Fumbles Lost,1,0,0,1,bye,0,0
Turnovers,1,0,0,1,bye,1,0
Penalties,7,7,10,10,bye,5,5
Penalty Yds,55,70,75,98,bye,40,40
3D Conv,2,5,5,2,bye,7,3
3D Conv Yards,13,12,14,12,bye,15,10
4D Conv,2,0,0,1,bye,1,0
4D Conv Yards,2,0,0,3,bye,1,0
Time of Possession,25:06,30:03,32:28,25:08,bye,29:28,27:14
