Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,37,18,33,14,13,30,7
First Downs,22,18,30,17,12,28,10
Rush Att,30,22,20,32,23,37,23
Rush Yds,112,129,124,181,104,176,95
Rush TDs,0,1,1,1,0,2,1
Pass Comp,24,16,29,16,16,20,13
Pass Att,30,28,38,22,29,26,18
Pass Yds,289,178,324,142,141,323,89
Pass TD,4,2,3,1,1,1,0
Pass INT,0,0,0,0,0,1,2
Sacks Taken,1,1,2,4,7,2,2
Sacked Yards,9,3,12,27,33,15,4
Net Pass Yards,280,175,312,115,108,308,85
Total Yards,392,304,436,296,212,484,180
Fumbles,0,1,0,3,1,1,1
Fumbles Lost,0,1,0,1,1,0,0
Turnovers,0,1,0,1,1,1,2
Penalties,7,5,5,4,9,3,6
Penalty Yds,46,20,16,82,52,33,59
3D Conv,9,4,6,4,1,6,3
3D Conv Yards,13,8,10,11,13,10,10
4D Conv,0,1,1,2,2,0,0
4D Conv Yards,0,2,1,3,3,0,1
Time of Possession,33:41,22:28,26:54,26:38,28:42,36:08,24:55
