Unnamed: 0,week_3,week_4,week_5
Points,21,27,34
First Downs,15,22,25
Rush Att,33,32,20
Rush Yds,150,133,99
Rush TDs,3,1,1
Pass Comp,10,19,34
Pass Att,20,30,45
Pass Yds,167,239,383
Pass TD,0,2,3
Pass INT,2,0,0
Sacks Taken,1,2,4
Sacked Yards,11,14,35
Net Pass Yards,156,225,348
Total Yards,306,358,447
Fumbles,0,1,1
Fumbles Lost,0,0,1
Turnovers,2,0,1
Penalties,9,4,5
Penalty Yds,78,38,34
3D Conv,3,8,7
3D Conv Yards,12,15,14
4D Conv,0,0,1
4D Conv Yards,1,0,1
Time of Possession,24:59,28:53,31:32
