Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,20,21,38,42,34,23,40
First Downs,22,22,22,29,19,18,26
Rush Att,30,35,32,37,34,18,37
Rush Yds,138,215,108,216,215,52,214
Rush TDs,3,0,3,4,3,0,1
Pass Comp,17,23,21,26,15,24,20
Pass Att,24,29,23,30,28,35,25
Pass Yds,184,226,254,233,236,269,211
Pass TD,0,0,2,1,1,2,2
Pass INT,0,0,0,1,1,0,0
Sacks Taken,2,5,2,0,3,3,1
Sacked Yards,23,16,6,0,17,16,4
Net Pass Yards,161,210,248,233,219,253,207
Total Yards,299,425,356,449,434,305,421
Fumbles,3,0,1,0,2,0,1
Fumbles Lost,0,0,0,0,1,0,0
Turnovers,0,0,0,1,2,0,0
Penalties,7,10,3,5,5,6,8
Penalty Yds,51,69,28,49,31,46,55
3D Conv,2,7,5,9,8,4,5
3D Conv Yards,8,14,9,12,17,12,10
4D Conv,1,1,3,1,2,1,0
4D Conv Yards,1,1,3,1,2,1,0
Time of Possession,26:19,37:32,33:06,33:22,31:18,23:52,35:05
