Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,20,23,28,35,41,30
First Downs,25,21,24,22,30,28
Rush Att,32,27,45,34,34,37
Rush Yds,185,151,274,271,175,176
Rush TDs,1,1,3,2,1,2
Pass Comp,26,21,12,14,26,20
Pass Att,41,34,15,19,42,26
Pass Yds,273,247,182,157,348,323
Pass TD,1,1,1,2,4,1
Pass INT,0,1,0,0,0,1
Sacks Taken,1,2,0,1,1,2
Sacked Yards,6,15,0,1,3,15
Net Pass Yards,267,232,182,156,345,308
Total Yards,452,383,456,427,520,484
Fumbles,1,0,0,2,2,1
Fumbles Lost,1,0,0,1,1,0
Turnovers,1,1,0,1,1,1
Penalties,7,11,13,8,5,3
Penalty Yds,64,109,105,79,21,33
3D Conv,7,3,4,5,10,6
3D Conv Yards,14,11,9,9,15,10
4D Conv,1,1,0,0,1,0
4D Conv Yards,2,1,0,0,1,0
Time of Possession,33:43,29:17,34:45,31:03,33:45,36:08
